708,requests-unixsocket,"Use requests to talk HTTP via a UNIX domain socket",https://github.com/msabramo/requests-unixsocket,1
750,couchbase,"Python Client for Couchbase",https://github.com/couchbase/couchbase-python-client,1
761,pycouchdb,"Modern pure python CouchDB Client.",https://github.com/histrio/py-couchdb,1
767,azure-storage,"Microsoft Azure Storage Client Library for Python",https://github.com/Azure/azure-storage-python,1
768,pydocumentdb,"Azure DocumentDB Python SDK",https://github.com/Azure/azure-documentdb-python,1
769,pyarango,"An easy to use python driver for ArangoDB with built-in validation",https://github.com/tariqdaouda/pyArango,1
785,adal,"The ADAL for Python library makes it easy for python application to authenticate to Azure Active Directory (AAD) in order to access AAD protected web resources.",https://github.com/AzureAD/azure-activedirectory-library-for-python,1
844,aws-xray-sdk,"The AWS X-Ray SDK for Python (the SDK) enables Python developers to record and emit information from within their applications to the AWS X-Ray service.",https://github.com/aws/aws-xray-sdk-python,1
850,aws-sam-translator,"AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates",https://github.com/awslabs/serverless-application-model,1
910,percy,"Python client library for visual regression testing with Percy (https://percy.io).",https://github.com/percy/python-percy-client,1
915,datadog,"The Datadog Python library",https://www.datadoghq.com,1
925,querystring-parser,"QueryString parser for Python/Django that correctly handles nested dictionaries",https://github.com/bernii/querystring-parser,1
941,google-resumable-media,"Utilities for Google Media Downloads and Resumable Uploads",https://github.com/GoogleCloudPlatform/google-resumable-media-python,1
953,beam,"A lightweight wrapper for the SolusVM client API.",https://github.com/gebn/beam,1
1050,azure-servicebus,"Microsoft Azure Service Bus Client Library for Python",https://github.com/Azure/azure-sdk-for-python,1
1051,azure-storage-queue,"Microsoft Azure Azure Queue Storage Client Library for Python",https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/storage/azure-storage-queue,1
1052,azure-core,"Microsoft Azure Core Library for Python",https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/core/azure-core,1
1054,requests-kerberos,"A Kerberos authentication handler for python-requests",https://github.com/requests/requests-kerberos,1
1089,python-ceilometerclient,"OpenStack Telemetry API Client Library",http://docs.openstack.org/developer/python-ceilometerclient,1
1094,python-zaqarclient,"Client Library for OpenStack Zaqar Messaging API",https://docs.openstack.org/python-zaqarclient/latest/,1
1095,python-heatclient,"OpenStack Orchestration API Client Library",https://docs.openstack.org/python-heatclient/latest,1
1096,python-octaviaclient,"Octavia client for OpenStack Load Balancing",https://docs.openstack.org/python-octaviaclient/latest/,1
1101,python-glanceclient,"OpenStack Image API Client Library",https://docs.openstack.org/python-glanceclient/latest/,1
1102,python-novaclient,"Client library for OpenStack Compute API",https://docs.openstack.org/python-novaclient/latest,1
1103,python-cinderclient,"OpenStack Block Storage API Client Library",https://docs.openstack.org/python-cinderclient/latest/,1
1138,yarg,"A semi hard Cornish cheese, also queries PyPI (PyPI client)",https://yarg.readthedocs.org/,1
1191,twython,"Actively maintained, pure Python wrapper for the     Twitter API. Supports both normal and streaming Twitter APIs",https://github.com/ryanmcgrath/twython/tree/master,1
1194,requests-oauth,"Hook for adding Open Authentication support to Python-requests HTTP library.",http://github.com/maraujop/requests-oauth,1
1195,smart-open,"Utils for streaming large files (S3, HDFS, GCS, gzip, bz2...)",https://github.com/piskvorky/smart_open,1
1203,plotly,"An open-source, interactive graphing library for Python",https://plot.ly/python/,1
1204,pattern,"Web mining module for Python.",http://www.clips.ua.ac.be/pages/pattern,1
1207,visdom,"A tool for visualizing live, rich data for Torch and Numpy",https://github.com/facebookresearch/visdom,1
1215,pytest-services,"Services plugin for pytest testing framework",https://github.com/pytest-dev/pytest-services,1
